Date,STT,0939.HK,BK,C,JPM,INGA.AS,GS,MS,3988.HK,BAC,1398.HK,BNP.PA,RBS.L,GLE.PA,CSGN.VX,1288.HK,STAN.L,DBK.DE,BARC.L,ACA.PA,8306.T,RY.TO,WFC,8316.T,UBSG.VX,8411.T,HSBA.L,SAN.MC,NDA-SEK.ST,UCG.MI,^GSPC,^HSI,^GSPTSE,^N225,^SSMI,^STOXX50E,^FTSE
2010-09-07,31.896175,4.305469,21.922785,36.600615999999995,31.152224,5.971262,130.904175,22.785792999999998,2.502666,12.293184,3.819115,38.342209,461.100006,32.613644,32.120167,2.403285,1370.35376,32.728535,238.780441,7.887952,324.466217,38.047043,20.224413000000002,1927.981079,14.790173,97.733574,440.986115,4.958426,64.994949,60.971142,1091.839966,21401.789063,12102.0,9226.0,6360.200195,2727.159912,5407.799805
2010-09-08,32.417637,4.272755,22.051895000000002,36.696171,31.835827000000002,6.014864,133.00460800000002,23.05208,2.465768,12.442079,3.773336,38.902111,458.299988,32.257736,32.049423,2.370453,1381.812988,32.519505,234.21727,7.754533,318.899475,38.112358,20.467883999999998,1883.685181,14.856569,95.52906,435.926514,5.036582,65.186546,61.734486,1098.869995,21088.859375,12042.299805,9024.599609,6386.950195,2752.889893,5429.700195
2010-09-09,33.251984,4.312011,22.008854,37.365116,32.63335,6.183626,134.44700600000002,23.975237,2.484217,12.563058999999999,3.799492,39.600174,481.5,33.359905,32.757221,2.455816,1415.0625,33.189651,245.890594,8.110366,319.694702,38.547844,20.849331,1887.439087,15.072364,96.263908,440.453674,5.10343,65.904984,63.292973,1104.180054,21167.269531,12033.5,9098.389648,6425.259766,2782.429932,5494.200195
2010-09-10,32.965191,4.325104,21.948605999999998,37.365116,32.356654999999996,6.228845,135.573822,24.135017,2.484217,12.609589999999999,3.779876,39.876484,485.299988,33.608662,32.587364,2.488647,1402.499146,31.650324,242.65863,8.125223,320.48996,38.830921,20.898024,1906.208252,15.188562,95.52906,440.387085,5.100338,66.288132,62.847687,1109.550049,21257.390625,12097.099609,9239.169922,6467.689941,2780.399902,5501.600098
2010-09-13,33.738673999999996,4.416708,22.439219,38.129639000000005,33.463425,6.315244,139.16175800000002,24.649847,2.514959,12.98183,3.819115,40.705425,501.0,35.05526,33.281021,2.57401,1408.78479,32.187721,246.156479,8.592224,327.647247,39.629314,21.506701,1941.494751,15.263256,96.998756,451.305206,5.12914,67.581345,62.847687,1121.900024,21658.349609,12149.900391,9321.820313,6471.77002,2805.060059,5565.5
2010-09-14,33.225914,4.423251,22.02607,37.651817,33.137896999999995,6.316859,137.503021,24.427933,2.514959,12.730564,3.877972,40.814491,501.5,35.292538,33.196049,2.534612,1426.513306,32.662159,246.384415,8.662666,329.237854,39.433353,21.149612,1964.768677,15.205161,96.263908,450.173492,5.15999,67.53344,64.247154,1121.099976,21696.039063,12193.0,9299.30957,6466.319824,2806.469971,5567.399902
2010-09-16,33.582237,4.383988,21.991642000000002,37.938507,33.357628000000005,6.213503,137.232544,23.771079999999998,2.484217,12.609589999999999,3.858349,39.992825,484.399994,34.69553,32.997898,2.488647,1409.517944,31.212351,239.350891,8.299444,328.442535,39.440598,21.149612,1944.497925,15.163662,95.52906,449.640747,5.075147,67.006577,62.72047,1124.660034,21691.449219,12173.400391,9509.5,6424.160156,2784.610107,5540.100098
2010-09-17,33.208529999999996,4.488685,21.888351,37.747383,32.600796,6.192509,136.105743,23.495913,2.508815,12.469998,3.89105,39.207512,478.399994,33.677551,32.69352,2.495214,1403.981689,30.648388,231.670197,8.340169,329.237854,39.484158,21.109032,1958.762817,14.931267,96.263908,447.843292,4.972307,66.814995,61.161976,1125.589966,21970.859375,12164.599609,9626.089844,6389.02002,2757.370117,5508.5
2010-09-21,33.582237,4.403623,22.051895000000002,37.651817,33.032104,6.28456,136.484344,23.131971,2.508815,12.702649000000001,3.825655,39.774681,485.799988,34.458252,32.474102,2.521479,1392.1521,29.69293,236.955307,8.747967,325.261505,38.700272,21.409315,1973.027222,15.064064,96.263908,446.711517,5.008813,67.916611,60.398636,1139.780029,22002.589844,12170.599609,9602.110352,6420.399902,2794.550049,5576.200195
2010-09-22,32.808743,4.429793,21.879744,37.078423,32.503132,6.171515,133.48242199999999,22.146692,2.514959,12.488610000000001,3.819115,40.196426,475.0,33.880379,31.674297,2.560878,1384.770874,29.824989,233.22934,8.607081,322.080475,38.221233,20.946711999999998,1958.011597,14.607575,95.52906,442.051453,4.865868,66.958694,57.981483,1134.280029,22047.710938,12147.299805,9566.320313,6344.879883,2752.77002,5551.899902
2010-09-24,33.304134000000005,4.442879,22.490864000000002,37.26955,32.348521999999996,6.373383,132.770248,22.324223999999997,2.502666,12.656118,3.858349,40.210968,492.899994,34.603676,31.001833,2.541178,1425.780029,29.886843,237.068863,8.870222,319.694702,38.823658,20.768164000000002,1939.993408,14.557779,92.589722,443.582642,4.905463,67.293968,60.144184,1148.670044,22119.429688,12204.900391,9471.669922,6360.77002,2792.75,5598.5
2010-09-27,33.182468,4.39708,22.086315,36.98288,31.803265000000003,6.307169,131.616379,22.075687,2.502666,12.321102,3.858349,40.130978,488.100006,34.47739,30.676268,2.521479,1411.733887,29.923231,236.309067,8.918415,323.670959,38.497044,20.719476999999998,1967.021118,14.483081,89.650368,439.987762,4.819075,66.527626,60.207806,1142.160034,22340.839844,12190.599609,9603.139648,6338.890137,2776.330078,5573.399902
2010-09-28,32.99995,4.377445,22.258471,37.078423,31.697478999999998,6.29425,130.723892,21.747255,2.484217,12.349022,3.825655,39.549271,480.5,34.251598,30.364851,2.528046,1401.395264,29.268715,235.015823,8.955523,325.285339,38.642208,20.573391,1944.825317,14.52458,91.120041,439.055725,4.79748,66.575531,59.571682,1147.699951,22109.949219,12278.900391,9495.759766,6334.379883,2774.620117,5578.399902
2010-09-29,32.460968,4.46905,22.198219,37.460682,31.258021999999997,6.226422,130.192047,21.7295,2.514959,12.200124,3.904128,38.618526,478.899994,33.088192,30.400179,2.606842,1389.935913,28.548853,232.126236,8.803551,326.092438,38.932529,20.321807999999997,1936.406006,14.15939,91.120041,432.065338,4.758399,66.240257,58.553989,1144.72998,22378.669922,12382.799805,9559.379883,6311.569824,2752.709961,5569.299805
2010-09-30,32.73914,4.449422,22.490864000000002,37.365116,30.973197999999996,6.144867,130.33625800000002,21.907034,2.502666,12.190821000000001,3.779876,37.935013,476.100006,32.338093,29.727789,2.639674,1349.297241,29.192436,227.829926,8.499608,313.985107,38.896252,20.386723999999997,1861.398926,13.819099,89.650368,429.402313,4.790798,67.246063,59.571682,1141.199951,22358.169922,12368.700195,9369.349609,6296.330078,2747.899902,5548.600098
2010-10-04,32.634827,4.436336,22.559727,38.511871,31.738369,6.007597,132.13018799999998,21.933661999999998,2.533407,12.237352,3.786415,37.098797,475.600006,31.266539,29.685343,2.659373,1365.551392,28.777874,227.982224,8.53664,308.334961,38.939793,20.597738,1820.068604,13.752703,82.301971,433.796204,4.684869,66.67131,57.536205,1137.030029,22618.660156,12322.900391,9381.05957,6248.799805,2701.02002,5556.0
2010-10-05,33.64325,4.442879,22.774901999999997,39.467506,32.300606,6.217539,134.834641,22.608273,2.558006,12.618896000000001,3.779876,38.53854,490.799988,32.395508,30.152468,2.692205,1399.54187,29.483213,234.825638,8.799855,315.599396,39.680111,21.303808,1875.175537,14.076393,85.241333,443.049927,4.866899,69.018219,59.1264,1160.75,22639.140625,12498.0,9518.759766,6313.899902,2758.560059,5635.799805
2010-10-06,33.938843,4.521399,23.076162,39.180824,32.51247,6.262759,135.979553,22.528382999999998,2.631794,12.460691,3.85181,38.793037,494.899994,33.038437,30.379,2.692205,1384.399658,29.923231,233.305145,8.862831,323.67099,39.919643,21.344389000000003,1908.852173,14.308787,92.589722,441.851624,4.879235,69.066116,58.426765,1159.969971,22880.410156,12501.700195,9691.429688,6351.009766,2780.0,5681.399902
2010-10-07,33.617176,4.50177,22.774901999999997,39.945328,32.202827,6.338661,136.222961,22.25321,2.613346,12.386244,3.871433,39.214783,478.200012,33.505333,30.577152,2.738169,1368.879395,29.803211,231.214142,8.829495,326.899658,39.919643,21.10091,1910.382813,14.267288,93.324547,440.453674,4.891061,69.305595,59.158207,1158.060059,22884.320313,12445.900391,9684.80957,6375.580078,2786.879883,5662.100098
2010-10-08,33.895355,4.50177,22.843760999999997,40.040890000000005,32.031712,6.286983,137.62020900000002,22.475122,2.601047,12.265267999999999,3.884511,38.683968,476.100006,33.199173,30.010916,2.738169,1353.358643,29.55958,226.042633,8.629331,327.706787,39.77449,21.060337,1914.975098,14.200889,93.324547,438.190063,4.836561,70.407204,59.635288,1165.150024,22944.179688,12535.599609,9588.879883,6363.160156,2785.429932,5657.600098
2010-10-12,34.477818,4.573747,22.878199,40.518703,32.919895000000004,6.201391,139.919037,23.016583999999998,2.613346,12.581671,3.877972,38.182243,476.0,32.598331,30.046318,2.672505,1410.259277,29.134258,224.141861,8.696078,324.478119,39.912373,21.084681,1886.65625,14.275588,91.854874,441.51886,4.77948,69.832451,58.871952,1169.77002,23121.699219,12575.599609,9388.639648,6375.259766,2775.75,5661.600098
2010-10-13,34.912483,4.691523,22.921227,40.614269,32.463584999999995,6.411334,139.486298,23.025461,2.680985,12.367635,3.956446,39.265682,475.299988,32.935108,30.61256,2.652806,1386.244995,30.286789,222.050079,8.644189,318.020874,40.130119,20.946711999999998,1845.32605,14.615877,88.180679,446.778137,4.929113,70.790382,60.080578,1178.099976,23457.689453,12673.299805,9403.509766,6455.129883,2840.550049,5747.399902
2010-10-14,34.634304,4.828933,22.47365,38.798561,31.550957,6.466242,136.65563999999998,22.581636,2.760924,11.725522,4.152632,38.022266,453.0,31.913301,30.180847,2.665939,1395.109375,30.039579,212.886734,8.495914,319.635223,40.03577,20.062099,1875.175537,14.408386,89.650368,440.919708,4.897751,70.024025,59.349045,1173.810059,23852.169922,12619.700195,9583.509766,6440.970215,2836.110107,5727.200195
2010-10-15,34.816853,4.86819,22.241251000000002,37.747383,30.271637,6.449285,135.84433,22.208822,2.810115,11.148552,4.172248,37.869572,464.0,31.77936,29.727789,2.652806,1403.611328,29.668667,216.727097,8.503304,310.756439,40.318836,19.136904,1827.722168,14.151091,85.241333,434.927979,4.938304,69.832451,59.062889,1176.189941,23757.630859,12609.099609,9500.25,6443.009766,2841.649902,5703.399902
2010-10-18,35.825278999999995,4.776585,22.912622,39.849762,31.127234,6.457359,138.557739,22.546129,2.779373,11.483564999999999,4.11993,37.811394,463.100006,32.418465,30.428556,2.619975,1419.494263,30.141315,219.959091,8.647884,308.334961,40.790604,20.183838,1806.291748,14.333684,85.976158,439.654694,4.970077,70.886162,60.494057,1184.709961,23469.380859,12668.0,9498.490234,6470.259766,2850.719971,5742.5
2010-10-19,35.034199,4.835475,22.370363,38.798561,30.711651,6.340276,141.28028899999998,22.537256,2.828563,10.981044,4.139555,37.753223,469.5,32.954243,30.75412,2.659373,1447.578125,30.686739,219.655334,8.703468,313.177887,40.935768,19.924132999999998,1836.906982,14.607575,88.180679,439.721344,5.010709,70.502998,60.875721,1165.900024,23763.730469,12570.599609,9539.450195,6471.959961,2837.330078,5703.899902
2010-10-20,35.234131,4.848561,21.991642000000002,39.276382,31.045740000000002,6.329779,143.87648000000002,22.528382999999998,2.773223,10.934516,4.093775,37.9641,460.0,33.551254,30.676268,2.711904,1435.014771,30.806677,221.365997,8.870222,312.370758,41.26239,20.776281,1827.722168,14.507978,88.180679,439.388367,5.007586,70.07193,61.639069,1178.170044,23556.5,12649.900391,9381.599609,6477.200195,2851.52002,5728.899902
2010-10-21,34.982033,4.933623,21.948605999999998,38.894141999999995,30.719807,6.467856,143.606079,21.836016,2.822414,10.571582000000001,4.11993,38.407654,455.600006,33.398174,29.310219,2.705337,1410.259277,30.661287,217.449921,8.911024,309.14212,41.233349,21.125265,1816.241821,14.599277,87.445847,446.312164,4.985182,70.64669,61.543644,1180.26001,23649.480469,12599.200195,9376.480469,6512.189941,2882.290039,5757.899902
